City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
rongcheng,30.634,117.8517,48.51,87,100,5.57,CN,1616211911
popondetta,-8.7537,148.2534,90.27,54,4,7.29,PG,1616211911
maunabo,18.0072,-65.8993,75.99,85,6,11.12,PR,1616211912
calama,-22.4667,-68.9333,55.4,41,0,8.05,CL,1616211847
berdigestyakh,62.0989,126.6992,22.3,85,100,6.53,RU,1616211913
mocuba,-16.8392,36.9856,71.69,98,98,0.94,MZ,1616211914
saint-denis,48.9167,2.3333,37.99,93,1,8.05,FR,1616211915
cherskiy,68.75,161.3,-14.1,87,9,2.44,RU,1616211915
karratha,-20.7377,116.8463,86.36,41,0,23.06,AU,1616211916
mujiayingzi,42.1167,118.7833,44.35,44,52,13.35,CN,1616211917
nueva loja,0.0847,-76.8828,71.02,96,93,2.51,EC,1616211917
ostrovnoy,68.0531,39.5131,16.47,84,100,30.04,RU,1616211918
saskylakh,71.9167,114.0833,-25.56,96,100,7.45,RU,1616211919
clonakilty,51.6231,-8.8706,46.99,93,75,1.14,IE,1616211920
yar-sale,66.8333,70.8333,-18.67,95,71,11.03,RU,1616211920
pec,42.6591,20.2883,33.8,80,40,9.22,XK,1616211921
pisco,-13.7,-76.2167,71.6,73,0,9.22,PE,1616211888
port lincoln,-34.7333,135.8667,77.16,53,0,14.47,AU,1616211922
chililabombwe,-12.3648,27.8229,61.86,97,98,2.8,ZM,1616211923
prince rupert,54.3161,-130.3201,37.4,87,90,9.22,CA,1616211907
martapura,-3.4167,114.85,82.4,78,40,6.91,ID,1616211924
coihaique,-45.5752,-72.0662,47.59,97,100,6.67,CL,1616211925
busko-zdroj,50.4708,20.7188,28.0,1,91,9.1,PL,1616211926
hambantota,6.1241,81.1185,77.0,100,75,1.14,LK,1616211927
zogno,45.7919,9.6562,36.0,75,0,3.44,IT,1616211927
anchorage,61.2181,-149.9003,19.4,38,1,3.44,US,1616211710
mkokotoni,-5.8767,39.2547,78.8,89,20,1.21,TZ,1616211929
skibbereen,51.55,-9.2667,46.4,93,75,1.14,IE,1616211930
huambo,-12.7761,15.7392,60.37,96,100,2.91,AO,1616211931
bowen,-20.0167,148.2333,84.2,70,90,13.8,AU,1616211931
abu samrah,35.3029,37.1841,46.94,78,75,4.79,SY,1616211932
baykit,61.67,96.37,28.15,83,99,14.99,RU,1616211933
nemuro,43.3236,145.575,33.8,44,20,3.44,JP,1616211933
lufilufi,-13.8745,-171.5986,75.2,94,90,8.05,WS,1616211934
ibiruba,-28.6275,-53.0897,65.37,87,69,8.95,BR,1616211935
belmonte,-15.8631,-38.8828,78.8,78,40,6.91,BR,1616211936
port hedland,-20.3167,118.5667,80.6,47,90,25.32,AU,1616211937
khandyga,62.6667,135.6,15.76,91,100,6.55,RU,1616211937
mount isa,-20.7333,139.5,91.4,43,75,5.75,AU,1616211806
tevriz,57.509,72.4042,23.22,91,100,8.57,RU,1616211939
camacha,33.0833,-16.3333,59.0,67,75,13.8,PT,1616211939
karpathos,35.507,27.2132,57.2,88,100,6.91,GR,1616211940
labe,11.3182,-12.2833,65.86,40,19,4.7,GN,1616211941
terrace,54.5163,-128.6035,37.4,70,75,8.05,CA,1616211942
medicine hat,50.0501,-110.6683,46.4,42,20,12.66,CA,1616211942
vancouver,49.2497,-123.1193,50.0,61,90,11.5,CA,1616211716
saint-philippe,-21.3585,55.7679,78.01,73,0,9.22,RE,1616211943
north platte,41.1239,-100.7654,46.4,57,1,8.05,US,1616211944
bedesa,8.9,40.7833,63.07,49,5,1.88,ET,1616211945
karsun,54.1994,46.9827,19.2,96,100,9.66,RU,1616211946
mount gambier,-37.8333,140.7667,82.4,36,0,8.05,AU,1616211946
tabas,33.5959,56.9244,67.41,17,47,9.15,IR,1616211947
manokwari,-0.8667,134.0833,83.01,71,28,4.94,ID,1616211948
adrar,20.5022,-10.0711,66.33,22,0,13.67,MR,1616211949
ladario,-19.0047,-57.6017,72.75,97,100,2.73,BR,1616211730
diapaga,12.0708,1.7889,79.79,52,100,7.23,BF,1616211950
dingzhou,38.5131,114.9956,55.4,38,0,15.66,CN,1616211951
gizycko,54.0381,21.7644,22.48,76,19,7.31,PL,1616211952
verkhnevilyuysk,63.4453,120.3167,20.21,84,96,11.12,RU,1616211952
port blair,11.6667,92.75,86.34,56,85,5.19,IN,1616211953
zyryanka,65.75,150.85,2.26,81,0,12.86,RU,1616211954
port-gentil,-0.7193,8.7815,78.13,79,100,4.72,GA,1616211955
gorontalo,0.5412,123.0595,91.15,57,16,2.26,ID,1616211955
khanpur,28.6453,70.6567,87.49,15,36,8.19,PK,1616211956
college,64.8569,-147.8028,8.6,56,20,1.03,US,1616211957
hilo,19.7297,-155.09,75.2,53,20,6.91,US,1616211919
te anau,-45.4167,167.7167,64.09,56,1,2.28,NZ,1616211958
okakarara,-20.5833,17.4333,62.28,87,56,1.77,NA,1616211959
eseka,3.65,10.7667,72.03,99,100,1.88,CM,1616211959
cayenne,4.9333,-52.3333,79.0,88,75,6.91,GF,1616211960
noumea,-22.2763,166.4572,82.99,65,40,16.11,NC,1616211961
gusau,12.1628,6.6614,78.4,51,84,7.9,NG,1616211961
dongsheng,39.8161,109.9776,33.24,32,0,23.29,CN,1616211962
miramar,25.9873,-80.2323,69.8,63,1,11.5,US,1616211963
sakakah,29.9697,40.2064,53.6,47,0,7.94,SA,1616211964
monki,53.405,22.7979,25.0,77,96,8.93,PL,1616211964
marsh harbour,26.5412,-77.0636,72.55,79,53,11.81,BS,1616211965
milkovo,54.7167,158.6167,30.52,80,80,0.34,RU,1616211966
egvekinot,66.3167,-179.1667,-7.94,77,100,9.22,RU,1616211966
zhangye,38.9342,100.4517,32.88,20,11,7.65,CN,1616211967
jalu,29.0331,21.5482,60.87,28,0,0.98,LY,1616211968
vao,-22.6667,167.4833,75.67,75,100,21.79,NC,1616211969
molina,-35.1167,-71.2833,59.0,67,2,1.52,CL,1616211970
lazaro cardenas,17.9583,-102.2,73.4,78,0,3.13,MX,1616211970
turbat,26.0023,63.044,78.13,43,0,2.8,PK,1616211971
raudeberg,61.9875,5.1352,43.0,95,100,19.01,NO,1616211972
talnakh,69.4865,88.3972,-23.53,81,3,3.69,RU,1616211973
brigantine,39.4101,-74.3646,39.0,55,1,3.44,US,1616211973
tongzi,28.7829,105.0877,56.97,56,94,4.76,CN,1616211974
coahuayana,18.7333,-103.6833,70.23,79,0,2.57,MX,1616211975
cururupu,-1.8283,-44.8683,71.91,97,100,2.64,BR,1616211976
saldanha,-33.0117,17.9442,59.0,88,19,8.05,ZA,1616211977
koumac,-20.5667,164.2833,81.05,64,100,4.38,NC,1616211977
saint anthony,45.0205,-93.218,41.0,60,1,9.22,US,1616211978
asau,46.4333,26.4,30.99,68,100,1.61,RO,1616211979
vila velha,-20.3297,-40.2925,75.2,94,20,3.44,BR,1616211980
anadyr,64.75,177.4833,-5.01,71,0,8.95,RU,1616211980
lasa,46.6166,10.7002,27.0,86,0,4.61,IT,1616211981
fairbanks,64.8378,-147.7164,8.6,66,1,0.87,US,1616211982
agirish,61.9247,63.0231,9.93,93,100,10.0,RU,1616211982
mecca,21.4267,39.8261,74.17,42,0,4.29,SA,1616211721
castro,-24.7911,-50.0119,61.7,97,61,6.67,BR,1616211984
turayf,31.6725,38.6637,46.4,57,0,4.61,SA,1616211984
sioux lookout,50.1001,-91.917,41.0,38,20,6.91,CA,1616211985
goma,-1.6792,29.2228,61.23,86,100,2.71,CD,1616211986
goderich,43.7501,-81.7165,23.0,86,0,1.14,CA,1616211908
bani walid,31.7566,13.9942,55.24,74,0,4.05,LY,1616211987
bud,39.447,-86.1758,36.0,70,0,8.97,US,1616211988
oranjemund,-28.55,16.4333,62.46,86,62,19.66,NA,1616211988
arlit,18.7369,7.3853,75.09,14,65,4.34,NE,1616211989
zunyi,27.6867,106.9072,51.21,89,100,5.28,CN,1616211990
corner brook,48.9667,-57.9484,23.0,86,75,9.22,CA,1616211934
hennebont,47.8051,-3.2734,35.01,93,0,8.05,FR,1616211991
saint-pierre,-21.3393,55.4781,78.01,73,0,9.22,RE,1616211992
omoa,15.7667,-88.0333,77.0,86,23,5.53,HN,1616211992
gryfice,53.9165,15.2003,30.99,86,75,3.44,PL,1616211993
tiarei,-17.5333,-149.3333,82.4,74,75,10.36,PF,1616211994
ardakan,32.31,54.0175,55.4,26,0,4.61,IR,1616211994
diamantino,-14.4086,-56.4461,70.83,97,100,5.91,BR,1616211995
shingu,33.7333,135.9833,68.0,49,75,17.27,JP,1616211996
rawson,-43.3002,-65.1023,66.79,30,31,16.73,AR,1616211996
panjakent,39.4952,67.6093,55.4,88,75,3.2,TJ,1616211997
san policarpo,12.1791,125.5072,83.55,78,93,8.32,PH,1616211998
gamba,-2.65,10.0,74.75,92,90,3.33,GA,1616211999
sao filipe,14.8961,-24.4956,70.57,76,34,4.63,CV,1616211999
derzhavinsk,51.1,66.3167,30.43,89,87,18.54,KZ,1616212000
grand junction,39.0639,-108.5507,59.0,35,1,3.44,US,1616211973
sirur,18.8333,74.3833,85.66,26,6,10.45,IN,1616212002
pitiquito,30.7,-112.0833,72.0,19,0,5.99,MX,1616212002
wamba,8.9333,8.6,73.99,74,80,3.38,NG,1616212003
bandarbeyla,9.4942,50.8122,77.54,71,0,9.64,SO,1616212004
yazykovo,55.2199,56.1353,26.1,96,99,8.1,RU,1616212005
longyearbyen,78.2186,15.6401,23.0,74,75,13.8,SJ,1616212005
cheyenne,41.14,-104.8203,37.99,60,1,10.36,US,1616211900
pendleton,45.6721,-118.7886,50.0,46,75,10.36,US,1616212006
tecoanapa,16.5167,-98.75,76.03,77,0,1.77,MX,1616212007
berlevag,70.8578,29.0864,32.27,84,99,25.34,NO,1616212008
jiuquan,39.7432,98.5174,30.88,24,48,4.41,CN,1616212009
kruisfontein,-34.0033,24.7314,64.0,90,100,4.88,ZA,1616212009
manicore,-5.8092,-61.3003,72.25,94,99,1.92,BR,1616212010
chern,53.4523,36.9145,15.96,93,76,3.69,RU,1616212011
grand forks,47.9417,-97.4337,42.8,56,1,14.97,US,1616212011
mapiri,-15.25,-68.1667,67.03,97,89,0.76,BO,1616212012
loikaw,19.6742,97.2094,91.98,21,5,5.66,MM,1616212013
sechura,-5.5569,-80.8222,77.81,66,100,12.95,PE,1616212013
kagoro,9.6,8.3833,67.78,80,100,2.55,NG,1616212014
margate,51.3813,1.3862,42.01,79,11,4.0,GB,1616212015
pathein,16.7833,94.7333,95.86,22,25,9.78,MM,1616212016
kleive,62.7954,7.6359,44.6,81,90,18.41,NO,1616212016
cabo san lucas,22.8909,-109.9124,71.6,49,1,8.43,MX,1616212017
nalut,30.3333,10.85,60.4,30,0,12.41,LY,1616212018
hammerfest,70.6634,23.6821,32.0,74,75,19.57,NO,1616212019
san juan,-31.5375,-68.5364,65.8,64,67,5.21,AR,1616211756
kovur,14.4833,79.9833,87.17,38,6,8.77,IN,1616212020
caala,-12.8525,15.5606,60.64,96,100,1.1,AO,1616212021
la ronge,55.1001,-105.2842,46.4,53,93,4.61,CA,1616212021
sur,22.5667,59.5289,87.15,31,0,4.94,OM,1616212023
hopewell,37.3043,-77.2872,37.99,56,30,6.78,US,1616212023
iquitos,-3.7481,-73.2472,78.8,89,75,1.14,PE,1616212024
meulaboh,4.1363,96.1285,82.8,78,100,1.59,ID,1616211803
trinidad,-14.8333,-64.9,69.85,97,77,1.01,BO,1616212026
fort nelson,58.8053,-122.7002,23.0,68,90,12.66,CA,1616211908
yilan,24.757,121.753,78.8,73,20,12.66,TW,1616211923
jinxiang,27.4327,120.6062,60.75,91,86,9.26,CN,1616212028
nome,64.5011,-165.4064,1.4,66,1,9.22,US,1616212029
